q_id,rating,evaluator_model,response
ex-000,5,claude-sonnet-5,"answer 0"
ex-001,6,claude-sonnet-5,"answer 1"
ex-002,5,claude-sonnet-5,"answer 2"
ex-003,6,claude-sonnet-5,"answer 3"
ex-004,10,claude-sonnet-5,"answer 4"
ex-005,7,claude-sonnet-5,"answer 5"
ex-006,8,claude-sonnet-5,"answer 6"
ex-007,6,claude-sonnet-5,"answer 7"
ex-008,4,claude-sonnet-5,"answer 8"
ex-009,2,claude-sonnet-5,"answer 9"
ex-010,5,claude-sonnet-5,"answer 10"
ex-011,3,claude-sonnet-5,"answer 11"
ex-012,9,claude-sonnet-5,"answer 12"
ex-013,10,claude-sonnet-5,"answer 13"
ex-014,9,claude-sonnet-5,"answer 14"
ex-015,5,claude-sonnet-5,"answer 15"
ex-016,2,claude-sonnet-5,"answer 16"
ex-017,3,claude-sonnet-5,"answer 17"
ex-018,4,claude-sonnet-5,"answer 18"
ex-019,1,claude-sonnet-5,"answer 19"
ex-020,10,claude-sonnet-5,"answer 20"
ex-021,6,claude-sonnet-5,"answer 21"
ex-022,2,claude-sonnet-5,"answer 22"
ex-023,7,claude-sonnet-5,"answer 23"
ex-024,5,claude-sonnet-5,"answer 24"
ex-025,5,claude-sonnet-5,"answer 25"
ex-026,4,claude-sonnet-5,"answer 26"
ex-027,2,claude-sonnet-5,"answer 27"
ex-028,8,claude-sonnet-5,"answer 28"
ex-029,4,claude-sonnet-5,"answer 29"
ex-030,6,claude-sonnet-5,"answer 30"
ex-031,8,claude-sonnet-5,"answer 31"
ex-032,7,claude-sonnet-5,"answer 32"
ex-033,1,claude-sonnet-5,"answer 33"
ex-034,9,claude-sonnet-5,"answer 34"
ex-035,2,claude-sonnet-5,"answer 35"
ex-036,5,claude-sonnet-5,"answer 36"
ex-037,2,claude-sonnet-5,"answer 37"
ex-038,2,claude-sonnet-5,"answer 38"
ex-039,4,claude-sonnet-5,"answer 39"
ex-040,4,claude-sonnet-5,"answer 40"
ex-041,6,claude-sonnet-5,"answer 41"
ex-042,3,claude-sonnet-5,"answer 42"
ex-043,3,claude-sonnet-5,"answer 43"
ex-044,8,claude-sonnet-5,"answer 44"
ex-045,1,claude-sonnet-5,"answer 45"
ex-046,8,claude-sonnet-5,"answer 46"
ex-047,10,claude-sonnet-5,"answer 47"
ex-048,9,claude-sonnet-5,"answer 48"
ex-049,5,claude-sonnet-5,"answer 49"
ex-050,6,claude-sonnet-5,"answer 50"
ex-051,10,claude-sonnet-5,"answer 51"
ex-052,8,claude-sonnet-5,"answer 52"
ex-053,10,claude-sonnet-5,"answer 53"
ex-054,1,claude-sonnet-5,"answer 54"
ex-055,2,claude-sonnet-5,"answer 55"
ex-056,8,claude-sonnet-5,"answer 56"
ex-057,3,claude-sonnet-5,"answer 57"
ex-058,10,claude-sonnet-5,"answer 58"
ex-059,8,claude-sonnet-5,"answer 59"
